Params,Sobol First Order (S1),Sobol Total (ST),Sobol Total Conf,High Accuracy,Below Relative Cutoff,N
a2,0.00171,0.001016256,0.0002178866,--,Yes,8
k2,-0.000271,0.0002066484,4.630473e-05,--,Yes,8
sig,-0.000202,0.0001613918,3.617428e-05,--,Yes,8
b1,2.3e-05,9.686987e-05,2.119832e-05,--,Yes,8
c3,-7e-06,2.784831e-05,5.55295e-06,--,Yes,8
e1,5.1e-05,2.402654e-05,4.484742e-06,--,Yes,8
b2,0.000136,2.401025e-05,5.482786e-06,--,Yes,8
sig2,-4.4e-05,4.311699e-06,9.014729e-07,--,Yes,8
d1,-4.7e-05,3.654755e-07,7.916302e-08,--,Yes,8
k3,0.2853058,0.2873851,0.02321804,Yes,No,10
k5,0.2473122,0.2494828,0.02360348,Yes,No,10
e3,0.1249661,0.128516,0.01257478,Yes,No,10
c1,0.07876021,0.08127224,0.007822915,Yes,No,10
k1,0.06038571,0.06116969,0.004997788,Yes,No,10
c2,0.05853794,0.05877957,0.005572721,Yes,No,10
a1,0.04457947,0.04674618,0.004643319,Yes,No,10
k4,0.03001796,0.03086925,0.002875772,Yes,No,10
e2,0.02914252,0.03082023,0.00265764,Yes,No,10
d2,0.02805921,0.03050734,0.002942333,Yes,No,10
a2,0.0008287977,0.0009401814,8.399309e-05,Yes,Yes,10
k2,0.0003437241,0.0002116896,2.256826e-05,--,Yes,10
sig,0.0001825334,0.0001554246,1.587612e-05,--,Yes,10
b1,0.0001969729,9.525098e-05,8.639104e-06,Yes,Yes,10
c3,1.637498e-05,2.569493e-05,2.657152e-06,--,Yes,10
e1,-5.385472e-07,2.375549e-05,2.312522e-06,Yes,Yes,10
b2,-3.525464e-05,2.366847e-05,2.443429e-06,--,Yes,10
sig2,1.123098e-05,4.346259e-06,4.329102e-07,Yes,Yes,10
